ID,NAME_STRAS,LAENGE_ABS,DTV,SLKW_ABS,LLKW_ABS,BUS_ABS,KRAD_ABS,N_BETROF,EM_PM10,EM_PM25,X009_GNO2,X009_GPM10,X009_GPM25,T2015_GNO2,T2015_GPM1,T2015_GPM2,T2020_GNO2,T2020_GPM1,T2020_GPM2,INDEX_NO2,INDEX_PM10,GESAMTINDEX,alias
7666,Turmstr.,288,8078,178,598,364,113,88,0.53,0.35,29.68,26.97,18.29,23.41,25.86,17.21,16.57,24.73,15.72,0.74,0.67,1.41,6894
7667,Turmstr.,33,8078,178,598,364,113,5,0.53,0.35,25.58,25.97,17.66,20.88,25.14,16.79,15.05,24.13,15.38,0.64,0.65,1.29,6895
7670,Perleberger Str.,69,10214,194,807,368,143,10,0.89,0.57,24.61,26.01,17.66,20.09,25.14,16.77,14.5,24.15,15.37,0.62,0.65,1.27,6898
7671,Perleberger Str.,117,10214,194,807,368,143,75,0.89,0.57,30.49,27.6,18.66,23.72,26.25,17.43,16.71,25.08,15.91,0.76,0.69,1.45,6899
7672,Perleberger Str.,142,10214,194,807,368,143,111,0.89,0.57,32.66,28.08,18.99,24.59,26.39,17.52,17.17,25.18,15.97,0.82,0.7,1.52,6900
7678,Perleberger Str.,68,10214,194,807,368,143,13,0.89,0.57,24.9,26.05,17.69,20.13,25.12,16.76,14.5,24.12,15.36,0.62,0.65,1.27,6906
7679,Perleberger Str.,215,10214,194,807,368,143,185,0.89,0.57,35.44,28.78,19.44,25.87,26.69,17.71,17.9,25.41,16.1,0.89,0.72,1.61,6907
7680,An der Putlitzbrücke,236,30886,896,2440,93,432,10,2.62,1.67,26.71,27.8,18.5,22.32,26.91,17.57,16.04,25.76,16.08,0.67,0.7,1.37,6908
7681,An der Putlitzbrücke,119,30886,896,2440,93,432,88,2.62,1.67,36.43,32.07,21.04,30.51,30.77,19.72,21.26,29.1,17.85,0.91,0.8,1.71,6909
7693,Föhrer Str.,166,32332,776,2554,32,453,73,2.71,1.75,30.24,28.97,19.35,26.54,28.64,18.7,18.46,27,16.87,0.76,0.72,1.48,6919
7694,Föhrer Str.,94,32332,776,2554,32,453,67,2.71,1.75,37.12,31.23,20.93,33.84,31.45,20.48,22.9,29.11,18.17,0.93,0.78,1.71,6920
880,Otto-Suhr-Allee,161,30872,710,2439,679,432,132,2.75,1.76,35.8,28.91,19.57,28.37,27.47,18.21,19.5,26.1,16.52,0.9,0.72,1.62,763
895,Mierendorffplatz,77,11520,300,910,323,161,25,1.02,0.65,25.81,25.76,17.57,21.22,24.95,16.7,14.89,23.82,15.22,0.65,0.64,1.29,777
896,Lise-Meitner-Str.,48,6176,222,500,37,86,0,0.51,0.33,25.08,25.44,17.37,20.84,24.7,16.56,15.22,23.76,15.19,0.63,0.64,1.27,778
900,Olbersstr.,69,8560,428,633,514,120,36,1.02,0.64,27.52,26,17.73,20.97,24.67,16.54,14.85,23.66,15.13,0.69,0.65,1.34,782
904,Kaiserin-Augusta-Allee,218,18764,657,1482,319,263,222,1.69,1.08,41.32,30.8,20.81,31.01,28.32,18.73,21.06,26.78,16.92,1.03,0.77,1.8,785
924,Leibnizstr.,236,15682,235,1160,235,220,199,1.3,0.83,38.43,29.98,20.24,30.65,28.37,18.74,21.29,26.93,16.99,0.96,0.75,1.71,803
925,Leibnizstr.,30,15682,235,1160,235,220,2,1.3,0.83,27.2,26.33,17.91,22.27,25.44,16.98,15.8,24.36,15.51,0.68,0.66,1.34,804
931,Cauerstr.,142,12164,255,961,231,170,140,0.76,0.5,40.12,29.73,20.2,34.77,29.34,19.4,23.89,27.67,17.47,1,0.74,1.74,808
932,Kaiserin-Augusta-Allee,128,17846,678,1410,36,250,94,1.5,0.96,30.31,27.86,18.92,24.41,26.52,17.65,17.03,25.25,16.05,0.76,0.7,1.46,809
934,Neues Ufer,73,5648,181,418,90,79,25,0.47,0.3,24.13,25.57,17.44,20.69,25.03,16.75,14.7,23.96,15.31,0.6,0.64,1.24,810
936,Sickingenstr.,74,11128,757,901,22,156,26,1.12,0.71,28.84,27.21,18.49,24.79,26.56,17.66,17.13,25.27,16.05,0.72,0.68,1.4,811
937,Sickingenstr.,78,11128,757,901,22,156,53,1.12,0.71,32.68,28.67,19.44,28.34,27.99,18.52,19.22,26.47,16.75,0.82,0.72,1.54,812
938,Sickingenstr.,59,11128,757,901,11,156,40,1.11,0.71,31.66,28.42,19.28,27.41,27.73,18.37,18.65,26.26,16.63,0.79,0.71,1.5,813
939,Sickingenstr.,94,11128,757,901,11,156,7,1.11,0.71,28.55,27.45,18.64,24.46,26.76,17.79,16.97,25.47,16.18,0.71,0.69,1.4,814
956,Marchstr.,150,14014,448,1107,266,196,110,1.24,0.79,28.14,26.45,18.01,22.64,25.41,16.98,15.81,24.24,15.46,0.7,0.66,1.36,829
962,Franklinstr.,206,11046,442,873,88,155,164,0.98,0.63,29.87,27.4,18.62,24.9,26.56,17.66,17.06,25.12,15.96,0.75,0.69,1.44,835
963,Franklinstr.,164,11046,442,873,88,155,163,0.98,0.63,31.3,27.93,18.94,26.2,27.09,17.97,17.8,25.53,16.2,0.78,0.7,1.48,836
964,Franklinstr.,35,11046,442,873,88,155,1,0.98,0.63,25.07,25.93,17.65,20.95,25.22,16.85,14.91,24.12,15.39,0.63,0.65,1.28,837
965,Franklinstr.,134,11046,442,873,88,155,54,0.98,0.63,28.39,26.98,18.33,23.71,26.2,17.43,16.46,24.87,15.82,0.71,0.67,1.38,838
966,Gotzkowskystr.,93,32478,747,2566,617,455,90,2.75,1.76,34.25,28.65,19.4,29.21,28.04,18.55,19.9,26.45,16.73,0.86,0.72,1.58,839
967,Gotzkowskystr.,182,6722,161,497,376,94,167,0.5,0.33,35.01,28.03,19.02,28.76,27.32,18.14,19.26,25.73,16.33,0.88,0.7,1.58,840
968,Gotzkowskybrücke,105,25670,436,2028,411,359,19,2.08,1.34,24.95,25.92,17.65,20.83,25.2,16.84,14.85,24.12,15.39,0.62,0.65,1.27,841
969,Kaiserin-Augusta-Allee,118,17846,678,1410,36,250,23,1.5,0.96,26.34,26.5,18.02,21.69,25.61,17.09,15.38,24.47,15.6,0.66,0.66,1.32,842
970,Kaiserin-Augusta-Allee,79,17846,678,1410,36,250,35,1.5,0.96,31.96,28.48,19.3,25.74,27.09,17.98,17.86,25.73,16.32,0.8,0.71,1.51,843
971,Kaiserin-Augusta-Allee,73,17846,678,1410,36,250,17,1.5,0.96,25.86,26.44,17.99,21.27,25.55,17.05,15.16,24.43,15.58,0.65,0.66,1.31,844
973,Beusselstr.,132,15642,532,1236,141,219,134,0.98,0.65,38.45,29.85,20.26,32.58,28.89,19.13,21.87,27.09,17.13,0.96,0.75,1.71,845
974,Alt-Moabit,147,28552,971,2256,171,400,155,2.48,1.59,52.83,36.65,24.53,45.2,35.09,22.78,30.11,32.18,20.02,1.32,0.92,2.24,846
975,Huttenstr.,279,5648,147,418,367,79,235,0.59,0.37,30.14,27.19,18.46,25.1,26.68,17.74,17.25,25.36,16.12,0.75,0.68,1.43,847
976,Huttenstr.,76,5648,147,418,367,79,19,0.59,0.37,24.34,25.87,17.63,20.31,25.22,16.86,14.49,24.16,15.43,0.61,0.65,1.26,848
977,Turmstr.,94,16512,330,1304,859,231,58,1.59,1.02,38.56,29.48,19.9,28.63,27.61,18.28,19.23,26.01,16.49,0.96,0.74,1.7,849
978,Beusselstr.,23,21668,715,1712,650,303,5,1.54,1.01,26.68,26.49,18.02,21.85,25.67,17.13,15.43,24.53,15.64,0.67,0.66,1.33,850
979,Beusselstr.,142,21668,715,1712,650,303,134,1.54,1.01,47.89,32.06,21.69,37.71,30.31,19.98,25.14,28.39,17.88,1.2,0.8,2,851
980,Gotzkowskystr.,149,6502,78,481,377,91,125,0.46,0.3,34.58,27.99,18.99,28.43,27.34,18.15,19.12,25.77,16.35,0.86,0.7,1.56,852
981,Kaiserin-Augusta-Allee,41,17846,678,1410,36,250,11,1.5,0.96,25.68,26.38,17.95,21.09,25.46,17.01,15.02,24.36,15.54,0.64,0.66,1.3,853
982,Kaiserin-Augusta-Allee,48,17846,678,1410,36,250,12,1.5,0.96,25.16,26.16,17.83,20.67,25.25,16.89,14.78,24.19,15.45,0.63,0.65,1.28,854
983,Kaiserin-Augusta-Allee,176,17846,678,1410,36,250,121,1.5,0.96,33.19,28.98,19.63,26.58,27.41,18.19,18.38,26.01,16.5,0.83,0.72,1.55,855
